nom,dci,laboratoire,amm,is_available,classe,sous_classe,forme,gp_status,veic,tableau,nb_fabricants_dci,hhi_dci,nb_amm_dci,nb_presentations_dci,nb_dci_sous_classe,anciennete_amm,duree_conservation_mois,indications_len,nb_indications,est_generique,est_biosimilaire,est_injectable,est_chronique,indications,dosage,presentation,date_amm
CO-IRIVEL,IRBESARTAN+HYDROCHLOROTHIAZIDE,PHARMAGHREB,9013865,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,9,0.12,45,2,37,9.8,24.0,231,1,1,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients adultes dont la pression artérielle est insuffisamment contrôlée par l'irbesartan seul ou l'hydrochlorothiazide seul.,300 mg/25 mg,B/30,2016-05-17
CO-IRIVEL,IRBESARTAN+HYDROCHLOROTHIAZIDE,PHARMAGHREB,9013869,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,9,0.12,45,2,37,8.0,24.0,231,1,1,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients adultes dont la pression artérielle est insuffisamment contrôlée par l'irbesartan seul ou l'hydrochlorothiazide seul.,300 mg/12.5 mg,B/90,2018-03-07
CO-IRIVEL,IRBESARTAN+HYDROCHLOROTHIAZIDE,PHARMAGHREB,90138610,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,9,0.12,45,2,37,8.0,24.0,231,1,1,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients adultes dont la pression artérielle est insuffisamment contrôlée par l'irbesartan seul ou l'hydrochlorothiazide seul.,300 mg/25 mg,B/90,2018-03-07
CO-IRIVEL,IRBESARTAN+HYDROCHLOROTHIAZIDE,PHARMAGHREB,90138611,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,9,0.12,45,2,37,7.9,24.0,231,1,1,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients adultes dont la pression artérielle est insuffisamment contrôlée par l'irbesartan seul ou l'hydrochlorothiazide seul.,150 mg/12.5 mg,B/90,2018-03-23
CO-LOSAR,LOSARTAN+HYDROCHLOROTHIAZIDE,LES LABORATOIRES MEDIS,9233422,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,3,0.39100346020761245,17,5,37,16.9,24.0,217,2,1,0,0,1,CO-LOSAR est indiqué dans le traitement de l'hypertension artérielle essentielle chez les patients dont la pression artérielle n'est pas suffisamment contrôlée par le losartan ou l'hydrochlorothiazide en monothérapie.,50mg/12.5mg,B/60,2009-04-20
CO-LOSAR,LOSARTAN+HYDROCHLOROTHIAZIDE,LES LABORATOIRES MEDIS,9233423,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,3,0.39100346020761245,17,5,37,15.9,24.0,217,2,1,0,0,1,CO-LOSAR est indiqué dans le traitement de l'hypertension artérielle essentielle chez les patients dont la pression artérielle n'est pas suffisamment contrôlée par le losartan ou l'hydrochlorothiazide en monothérapie.,50mg/12.5mg,B/90,2010-03-27
CO-LOSAR,LOSARTAN+HYDROCHLOROTHIAZIDE,LES LABORATOIRES MEDIS,9233421,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,3,0.39100346020761245,17,5,37,20.1,24.0,217,2,1,0,0,1,CO-LOSAR est indiqué dans le traitement de l'hypertension artérielle essentielle chez les patients dont la pression artérielle n'est pas suffisamment contrôlée par le losartan ou l'hydrochlorothiazide en monothérapie.,50mg/12.5mg,B/30,2006-01-18
CO-LOSAR FORT,LOSARTAN+HYDROCHLOROTHIAZIDE,LES LABORATOIRES MEDIS,9233532,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé sécable,Générique,Essentiel,A,3,0.39100346020761245,17,5,37,16.9,24.0,208,1,1,0,0,1,Traitement de l'hypertension artérielle essentielle en cas de contrôle tensionnel insuffisant sous l'association de losartan potassique (a la dose de 50 mg/j) et d'hydrochlorothiazide (à la dose de 12.5 mg/j),100mg/25 mg,B/56,2009-04-20
CO-LOSAR FORT,LOSARTAN+HYDROCHLOROTHIAZIDE,LES LABORATOIRES MEDIS,9233803,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé sécable,Générique,Essentiel,A,3,0.39100346020761245,17,5,37,10.6,24.0,222,2,1,0,0,1,CO-LOSAR FORT est indiqué dans le traitement de l'hypertension artérielle essentielle chez les patients dont la pression artérielle n'est pas suffisamment contrôlée par le losartan ou l'hydrochlorothiazide en monothérapie.,100mg/25 mg,B/90,2015-07-22
CO-LOSAR FORT,LOSARTAN+HYDROCHLOROTHIAZIDE,LES LABORATOIRES MEDIS,9233802,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé sécable,Générique,Essentiel,A,3,0.39100346020761245,17,5,37,10.6,24.0,222,2,1,0,0,1,CO-LOSAR FORT est indiqué dans le traitement de l'hypertension artérielle essentielle chez les patients dont la pression artérielle n'est pas suffisamment contrôlée par le losartan ou l'hydrochlorothiazide en monothérapie.,100mg/25 mg,B/60,2015-07-22
CO-LOSAR FORT,LOSARTAN+HYDROCHLOROTHIAZIDE,LES LABORATOIRES MEDIS,9233801,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé sécable,Générique,Essentiel,A,3,0.39100346020761245,17,5,37,10.7,24.0,222,2,1,0,0,1,CO-LOSAR FORT est indiqué dans le traitement de l'hypertension artérielle essentielle chez les patients dont la pression artérielle n'est pas suffisamment contrôlée par le losartan ou l'hydrochlorothiazide en monothérapie.,100mg/25 mg,B/30,2015-07-07
CO-LOSAR PLUS,LOSARTAN+HYDROCHLOROTHIAZIDE,LES LABORATOIRES MEDIS,9233781,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé sécable,Générique,Essentiel,A,3,0.39100346020761245,17,5,37,10.7,24.0,222,2,1,0,0,1,CO-LOSAR PLUS est indiqué dans le traitement de l'hypertension artérielle essentielle chez les patients dont la pression artérielle n'est pas suffisamment contrôlée par le losartan ou l'hydrochlorothiazide en monothérapie.,100mg/12.5 mg,B/30,2015-07-07
CO-LOSAR PLUS,LOSARTAN+HYDROCHLOROTHIAZIDE,LES LABORATOIRES MEDIS,9233782,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé sécable,Générique,Essentiel,A,3,0.39100346020761245,17,5,37,10.7,24.0,222,2,1,0,0,1,CO-LOSAR PLUS est indiqué dans le traitement de l'hypertension artérielle essentielle chez les patients dont la pression artérielle n'est pas suffisamment contrôlée par le losartan ou l'hydrochlorothiazide en monothérapie.,100mg/12.5 mg,B/90,2015-06-22
CO-MEDZAR,LOSARTAN+HYDROCHLOROTHIAZIDE,DAR-ESSAYDALI.,9213223,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé sécable,Générique,Essentiel,A,3,0.39100346020761245,17,5,37,15.0,36.0,218,2,1,0,0,1,CO-MEDZAR est indiqué dans le traitement de l'hypertension artérielle essentielle chez les patients dont la pression artérielle n'est pas suffisamment contrôlée par le losartan ou l'hydrochlorothiazide en monothérapie.,50mg/12.5mg,B/28,2011-03-07
CO-MEDZAR,LOSARTAN+HYDROCHLOROTHIAZIDE,DAR-ESSAYDALI.,92132211,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé sécable,Générique,Essentiel,A,3,0.39100346020761245,17,5,37,7.0,36.0,218,2,1,0,0,1,CO-MEDZAR est indiqué dans le traitement de l'hypertension artérielle essentielle chez les patients dont la pression artérielle n'est pas suffisamment contrôlée par le losartan ou l'hydrochlorothiazide en monothérapie.,50mg/12.5mg,B/90,2019-03-18
CO-MEDZAR FORT,LOSARTAN+HYDROCHLOROTHIAZIDE,DAR-ESSAYDALI.,9213224,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé sécable,Générique,Essentiel,A,3,0.39100346020761245,17,5,37,15.0,36.0,223,2,1,0,0,1,CO-MEDZAR FORT est indiqué dans le traitement de l'hypertension artérielle essentielle chez les patients dont la pression artérielle n'est pas suffisamment contrôlée par le losartan ou l'hydrochlorothiazide en monothérapie.,100 mg/25 mg,B/28,2011-03-07
CO-MEDZAR FORT,LOSARTAN+HYDROCHLOROTHIAZIDE,DAR-ESSAYDALI.,92132212,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé sécable,Générique,Essentiel,A,3,0.39100346020761245,17,5,37,7.0,36.0,223,2,1,0,0,1,CO-MEDZAR FORT est indiqué dans le traitement de l'hypertension artérielle essentielle chez les patients dont la pression artérielle n'est pas suffisamment contrôlée par le losartan ou l'hydrochlorothiazide en monothérapie.,100 mg/25 mg,B/90,2019-03-18
CO-TAZAR,VALSARTAN+HYDROCHLOROTHIAZIDE,PHARMAGHREB,9013873,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,7,0.20164609053497942,27,4,37,10.5,24.0,194,1,1,0,0,1,Hypertension artérielle essentielle lorsqu'une monothérapie par le Valsartan à la dose de 160 mg /jour ou lorsque l'association Valsartan (80 mg)/ Hydrochlorothiazide (12.5 mg) est insuffisante.,80 mg/12.5mg,B/30,2015-09-17
CO-TAZAR,VALSARTAN+HYDROCHLOROTHIAZIDE,PHARMAGHREB,9013874,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,7,0.20164609053497942,27,4,37,10.5,24.0,194,1,1,0,0,1,Hypertension artérielle essentielle lorsqu'une monothérapie par le Valsartan à la dose de 160 mg /jour ou lorsque l'association Valsartan (80 mg)/ Hydrochlorothiazide (12.5 mg) est insuffisante.,160 mg/25 mg,B/30,2015-09-18
CO-TAZAR,VALSARTAN+HYDROCHLOROTHIAZIDE,PHARMAGHREB,9013877,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,7,0.20164609053497942,27,4,37,9.2,24.0,194,1,1,0,0,1,Hypertension artérielle essentielle lorsqu'une monothérapie par le Valsartan à la dose de 160 mg /jour ou lorsque l'association Valsartan (80 mg)/ Hydrochlorothiazide (12.5 mg) est insuffisante.,80 mg/12.5mg,B/90,2016-12-22
CO-TAZAR,VALSARTAN+HYDROCHLOROTHIAZIDE,PHARMAGHREB,9013878,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,7,0.20164609053497942,27,4,37,9.2,24.0,194,1,1,0,0,1,Hypertension artérielle essentielle lorsqu'une monothérapie par le Valsartan à la dose de 160 mg /jour ou lorsque l'association Valsartan (80 mg)/ Hydrochlorothiazide (12.5 mg) est insuffisante.,160 mg/25 mg,B/90,2016-12-22
CO-TENSOPRIL,CAPTOPRIL+HYDROCHLORTHIAZIDE,DAR-ESSAYDALI.,9213065,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé,Générique,Essentiel,A,5,0.20000000000000004,5,2,37,9.6,36.0,229,2,1,0,0,1,"- Traitement de l'hypertension artérielle essentielle, Cette association à dose fixe est indiquée chez les pateints dont la pression artérielle n'est pas suffisamment contrôlée par le captopril seul ou l'hydrochlorothiazide seul.",50 mg/25 mg,B/30,2016-07-12
CO-THERAPRIL,PERINDOPRIL+ AMLODIPINE,THERA,9403031,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé,Générique,Essentiel,A,2,0.510204081632653,7,2,37,7.7,36.0,250,2,1,0,0,1,"CO-THERAPRIL 5 mg/5mg est indiqué pour le traitement de l'hypertension artérielle essentielle et/ou de la maladie coronaire stable, en substitution , chez les patients déja contrôlés avec perindopril et amlodipine pris simultanément à la même posolog",5 mg/5mg,B/30,2018-07-04
CO-THERAPRIL,PERINDOPRIL+ AMLODIPINE,THERA,9403033,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé,Générique,Essentiel,A,2,0.510204081632653,7,2,37,8.0,36.0,250,2,1,0,0,1,"CO-THERAPRIL10mg/10mg est indiqué pour le traitement de l'hypertension artérielle essentielle et/ou de la maladie coronaire stable, en subtitution , chez les patients déja controlés avec perindopril et amlodipine pris simultanément à la même posologi",10 mg/10mg,B/30,2018-02-22
CO-THERAPRIL,PERINDOPRIL+ AMLODIPINE,THERA,9403032,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé,Générique,Essentiel,A,2,0.510204081632653,7,2,37,7.7,36.0,250,2,1,0,0,1,"CO-THERAPRIL10mg/5mg est indiqué pour le traitement de l'hypertension artérielle essentielle et/ou de la maladie coronaire stable, en substitution , chez les patients déja controlés avec perindopril et amlodipine pris simultanément à la même posologi",10 mg/5 mg,B/30,2018-07-04
CO-ZARTAN,LOSARTAN+HYDROCHLOROTHIAZIDE,ADWYA,9043835,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé sécable,Générique,Essentiel,A,3,0.39100346020761245,17,5,37,11.9,24.0,219,2,1,0,0,1,CO-ZARTAN  est indiqué dans le traitement de l'hypertension artérielle essentielle chez les patients dont la pression artérielle n'est pas suffisamment contrôlée par le losartan ou l'hydrochlorothiazide en monothérapie.,50 mg/12.5mg,B/90,2014-04-08
CO-ZARTAN,LOSARTAN+HYDROCHLOROTHIAZIDE,ADWYA,9043834,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé sécable,Générique,Essentiel,A,3,0.39100346020761245,17,5,37,12.0,24.0,219,2,1,0,0,1,CO-ZARTAN  est indiqué dans le traitement de l'hypertension artérielle essentielle chez les patients dont la pression artérielle n'est pas suffisamment contrôlée par le losartan ou l'hydrochlorothiazide en monothérapie.,50 mg/12.5mg,B/30,2014-02-12
CO-ZARTAN FORT,LOSARTAN+HYDROCHLOROTHIAZIDE,ADWYA,9043833,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,3,0.39100346020761245,17,5,37,12.1,24.0,223,1,1,0,0,1,COZARTAN FORT  est indiqué dans le traitement de l'hypertension artérielle essentielle chez les patients dont la pression artérielle n'est pas suffisamment contrôlée par le losartan ou l'hydrochlorothiazide en monothérapie.,100 mg/25 mg,B/90,2014-01-06
CO-ZARTAN FORT,LOSARTAN+HYDROCHLOROTHIAZIDE,ADWYA,9043832,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,3,0.39100346020761245,17,5,37,19.6,24.0,223,2,1,0,0,1,CO-ZARTAN FORT est indiqué dans le traitement de l'hypertension artérielle essentielle chez les patients dont la pression artérielle n'est pas suffisamment contrôlée par le losartan ou l'hydrochlorothiazide en monothérapie.,100 MG/25 MG,B/30,2006-07-26
CO-ZARTEG,VALSARTAN+HYDROCHLOROTHIAZIDE,ADWYA,9044218,0,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,7,0.20164609053497942,27,4,37,9.0,24.0,250,2,1,0,0,1,"Traitement de l'hypertension artérielle essentielle chez l'adulte. CO-ZARtEG, association à dose fixe, est indiqué chez les patients dont la pression artérielle n'est pas suffisamment contrôlée par le valsartan ou l'hydrochlorothiazide en monothérapi",160 mg/25 mg,B/30,2017-03-02
CO-ZARTEG,VALSARTAN+HYDROCHLOROTHIAZIDE,ADWYA,9044219,0,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,7,0.20164609053497942,27,4,37,9.0,24.0,250,2,1,0,0,1,"Traitement de l'hypertension artérielle essentielle chez l'adulte. CO-ZARtEG, association à dose fixe, est indiqué chez les patients dont la pression artérielle n'est pas suffisamment contrôlée par le valsartan ou l'hydrochlorothiazide en monothérapi",160 mg/25 mg,B/90,2017-03-02
COAPROVEL,IRBESARTAN+HYDROCHLOROTHIAZIDE,SANOFI AVENTIS PHARMA TUNISIE,ST9263253,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Princeps,Essentiel,A,9,0.12,45,2,37,12.3,36.0,230,1,0,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients adultes dont la pression artérielle est insuffisamment contrôlée par l'irbésartan seul ou l'hydrochlorothiazide seul,150 mg/12.5 mg,B/30,2013-11-07
COAPROVEL,IRBESARTAN+HYDROCHLOROTHIAZIDE,SANOFI AVENTIS PHARMA TUNISIE,ST9263255,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Princeps,Essentiel,A,9,0.12,45,2,37,12.3,36.0,230,1,0,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients adultes dont la pression artérielle est insuffisamment contrôlée par l'irbésartan seul ou l'hydrochlorothiazide seul,300 mg/25 mg,B/30,2013-11-07
COAPROVEL,IRBESARTAN+HYDROCHLOROTHIAZIDE,SANOFI AVENTIS PHARMA TUNISIE,ST9263254,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Princeps,Essentiel,A,9,0.12,45,2,37,12.3,36.0,230,1,0,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients adultes dont la pression artérielle est insuffisamment contrôlée par l'irbésartan seul ou l'hydrochlorothiazide seul,300 mg/12.5mg,B/30,2013-11-07
COAPROVEL,IRBESARTAN+HYDROCHLOROTHIAZIDE,SANOFI AVENTIS PHARMA TUNISIE,ST9263259,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Princeps,Essentiel,A,9,0.12,45,2,37,11.9,36.0,230,1,0,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients adultes dont la pression artérielle est insuffisamment contrôlée par l'irbésartan seul ou l'hydrochlorothiazide seul,300 mg/12.5mg,B/90,2014-04-08
COAPROVEL,IRBESARTAN+HYDROCHLOROTHIAZIDE,SANOFI AVENTIS PHARMA TUNISIE,ST9263258,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Princeps,Essentiel,A,9,0.12,45,2,37,11.9,36.0,230,1,0,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients adultes dont la pression artérielle est insuffisamment contrôlée par l'irbésartan seul ou l'hydrochlorothiazide seul,150 mg/12.5 mg,B/90,2014-04-08
COAPROVEL,IRBESARTAN+HYDROCHLOROTHIAZIDE,SANOFI AVENTIS PHARMA TUNISIE,ST92632510,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Princeps,Essentiel,A,9,0.12,45,2,37,11.9,36.0,230,1,0,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients adultes dont la pression artérielle est insuffisamment contrôlée par l'irbésartan seul ou l'hydrochlorothiazide seul,300 mg/25 mg,B/90,2014-04-08
COAPROZAR,IRBESARTAN+HYDROCHLOROTHIAZIDE,TERIAK,9253773,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,9,0.12,45,2,37,11.5,24.0,231,1,1,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients adultes dont la pression artérielle est insuffisamment contrôlée par l'irbesartan seul ou l'hydrochlorothiazide seul.,150 mg/12.5 mg,B/30,2014-08-18
COAPROZAR,IRBESARTAN+HYDROCHLOROTHIAZIDE,TERIAK,9253775,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,9,0.12,45,2,37,11.5,24.0,224,1,1,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients  dont la pression artérielle est insuffisamment contrôlée par l'irbesartan seul ou l'hydrochlorothiazide seul.,300 mg/25 mg,B/30,2014-08-18
COAPROZAR,IRBESARTAN+HYDROCHLOROTHIAZIDE,TERIAK,9253774,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,9,0.12,45,2,37,11.5,24.0,231,1,1,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients adultes dont la pression artérielle est insuffisamment contrôlée par l'irbesartan seul ou l'hydrochlorothiazide seul.,300 mg/12.5 mg,B/30,2014-08-18
COAPROZAR,IRBESARTAN+HYDROCHLOROTHIAZIDE,TERIAK,92537710,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,9,0.12,45,2,37,11.2,24.0,224,1,1,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients  dont la pression artérielle est insuffisamment contrôlée par l'irbesartan seul ou l'hydrochlorothiazide seul.,300 mg/25 mg,B/90,2014-12-04
COAPROZAR,IRBESARTAN+HYDROCHLOROTHIAZIDE,TERIAK,9253778,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,9,0.12,45,2,37,11.2,24.0,231,1,1,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients adultes dont la pression artérielle est insuffisamment contrôlée par l'irbesartan seul ou l'hydrochlorothiazide seul.,150 mg/12.5 mg,B/90,2014-12-04
COAPROZAR,IRBESARTAN+HYDROCHLOROTHIAZIDE,TERIAK,9253779,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,9,0.12,45,2,37,11.2,24.0,231,1,1,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients adultes dont la pression artérielle est insuffisamment contrôlée par l'irbesartan seul ou l'hydrochlorothiazide seul.,300 mg/12.5 mg,B/90,2014-12-04
COARAVEN,IRBESARTAN+HYDROCHLOROTHIAZIDE,PHILADELPHIA PHARMA,9353044,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,9,0.12,45,2,37,12.0,24.0,231,1,1,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients adultes dont la pression artérielle est insuffisamment contrôlée par l'irbésartan seul ou l'hydrochlorothiazide seul.,300 mg/12.5 mg,B/30,2014-03-14
COARAVEN,IRBESARTAN+HYDROCHLOROTHIAZIDE,PHILADELPHIA PHARMA,9353045,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,9,0.12,45,2,37,12.0,24.0,223,1,1,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients dont la pression artérielle est insuffisamment contrôlée par l'irbesartan seul ou l'hydrochlorothiazide seul.,300 mg/25 mg,B/30,2014-03-14
COARAVEN,IRBESARTAN+HYDROCHLOROTHIAZIDE,PHILADELPHIA PHARMA,9353043,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,9,0.12,45,2,37,12.0,24.0,223,1,1,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients dont la pression artérielle est insuffisamment contrôlée par l'irbesartan seul ou l'hydrochlorothiazide seul.,150 mg/12.5 mg,B/30,2014-03-14
COARAVEN,IRBESARTAN+HYDROCHLOROTHIAZIDE,PHILADELPHIA PHARMA,9353049,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,9,0.12,45,2,37,11.6,24.0,231,1,1,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients adultes dont la pression artérielle est insuffisamment contrôlée par l'irbésartan seul ou l'hydrochlorothiazide seul.,300 mg/12.5 mg,B/90,2014-08-12
COARAVEN,IRBESARTAN+HYDROCHLOROTHIAZIDE,PHILADELPHIA PHARMA,9353048,1,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,Comprimé pelliculé,Générique,Essentiel,A,9,0.12,45,2,37,11.6,24.0,223,1,1,0,0,1,Traitement de l'hypertension artérielle essentielle. Cette association à dose fixe est indiquée chez les patients dont la pression artérielle est insuffisamment contrôlée par l'irbesartan seul ou l'hydrochlorothiazide seul.,150 mg/12.5 mg,B/90,2014-08-12
